Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
5.23;2025-05-04 11:22:53;975.856283028651;40.26627764363927;137.60307595840186;4.745307690429687;-0.023942016601562498;-19.627665209960938;-8.731442824793893;8.731176362305344;0.15055130603053438;-19.349999999999998;-51.0;-43.8;0.0;0.0;0.0
5.37;2025-05-04 11:22:53;975.9371287978043;40.30124069574312;136.9063985848867;3.794809631347656;-6.782773303222656;14.985308190917968;8.731176362305344;-6.838493306137406;2.47863406848855;-5.85;-58.65;-29.549999999999997;0.0;0.0;0.0
5.5;2025-05-04 11:22:53;976.137422463433;40.30124069574312;135.18059655395462;5.779602807617187;-13.740323327636718;9.68454571533203;8.731176362305344;0.3863706083969466;3.8866218579847334;4.95;5.55;11.85;0.0;0.0;0.0
5.62;2025-05-04 11:22:53;976.1484436470098;40.37228561761812;135.08564240806996;3.0621839233398433;7.958326318359375;-1.6639701538085936;8.731176362305344;0.9099693983969466;6.735638785557252;-12.15;13.049999999999999;-67.5;0.0;0.0;0.0
5.75;2025-05-04 11:22:54;976.306682029768;40.448924627829726;133.7224189664716;4.364629626464843;-4.723759875488281;5.063736511230468;8.731176362305344;5.494456513893131;-1.5089770726564886;-29.7;-51.0;-30.299999999999997;0.0;0.0;0.0
5.88;2025-05-04 11:22:54;976.498004188178;40.448924627829726;132.07441774482848;8.609549169921875;11.595118640136718;3.9815573608398434;6.461981809816794;-1.0887657282137406;4.164009308564886;-35.4;-7.199999999999999;3.15;0.0;0.0;0.0
6.0;2025-05-04 11:22:54;976.6881639698616;40.50430610236221;130.43668799121164;21.037849987792967;-9.696516723632811;21.10009923095703;8.731176362305344;-0.6086003238473283;-0.531326202167939;-36.6;15.899999999999999;-8.85;0.0;0.0;0.0
6.13;2025-05-04 11:22:54;976.6909417562975;40.52220718503938;130.41276653099786;14.958971972656249;-6.986280444335937;-6.488286499023437;8.731176362305344;1.3157917684580154;5.386272743541985;-39.449999999999996;-16.95;-56.55;0.0;0.0;0.0
6.26;2025-05-04 11:22:54;976.8137273431139;40.525843342458174;129.35542906696492;11.384428894042967;9.880870251464843;3.210624426269531;8.731176362305344;-0.8302971143206108;0.033041348580152674;-39.6;1.65;-2.6999999999999997;0.0;0.0;0.0
6.39;2025-05-04 11:22:54;976.9565128941149;40.525843342458174;128.12600222680118;8.21690009765625;0.29927520751953124;2.3319524169921872;8.731176362305344;2.966526885022901;-0.3360091980610687;-42.15;16.349999999999998;-30.75;0.0;0.0;0.0
6.51;2025-05-04 11:22:54;976.9576415347833;40.53311565729577;128.11628486839146;6.962338427734375;6.794744311523437;-3.8953661010742184;6.403093599847329;1.9281225671450382;2.447191494839695;-45.0;-10.799999999999999;-51.9;0.0;0.0;0.0
6.66;2025-05-04 11:22:55;977.0036414027616;40.534514179379926;127.72024342937105;5.849034655761718;-4.841075756835937;3.1747114013671873;4.972190036335879;4.4064901731450385;0.05675651006106871;-45.75;-28.95;-16.349999999999998;0.0;0.0;0.0
6.79;2025-05-04 11:22:55;977.0794020987639;40.534514179379926;127.06800544349284;7.860164050292968;5.286397265624999;7.029376074218749;7.039139560015268;-2.625721362167939;-0.6176600484580154;-41.55;8.7;-10.65;0.0;0.0;0.0
6.92;2025-05-04 11:22:55;977.2281171865368;40.53479388379675;125.78780854412535;9.112331518554686;1.5945383056640625;-0.055066638183593745;4.779004732137405;-1.402658539725191;2.795990892351145;-47.25;2.6999999999999997;-39.0;0.0;0.0;0.0
7.07;2025-05-04 11:22:55;977.2279869393606;40.53395477054626;125.78892969309055;11.853692419433592;-0.4261678955078125;3.488351818847656;8.731176362305344;-0.8332282016946565;1.4881929985496183;-45.15;-30.299999999999997;-37.8;0.0;0.0;0.0
7.22;2025-05-04 11:22:55;977.3371500560011;40.53787063238188;124.84931172367627;12.454637036132812;-3.6942531616210936;-3.4811692138671875;8.025583692625954;2.054692249206107;1.077307841206107;-36.6;-33.0;-4.2;0.0;0.0;0.0
7.37;2025-05-04 11:22:55;977.4509606581395;40.53787063238188;123.86978115235316;10.302249743652343;0.9744400756835937;3.0262708984374997;8.731176362305344;0.2065084286259542;-3.157047564335878;-24.9;27.45;-6.1499999999999995;0.0;0.0;0.0
7.5;2025-05-04 11:22:56;977.5549848095671;40.54793999138779;122.9745601322012;11.250353601074218;6.6271501953125;-1.3934253662109375;7.108686269526718;-1.3360429175877864;1.8204717217709927;-17.7;21.45;-63.3;0.0;0.0;0.0
7.64;2025-05-04 11:22:56;977.5563743616608;40.556890532726385;122.96260231358858;12.842497705078124;0.430956298828125;0.9002198242187499;3.95163870519084;1.3168576184122138;2.719516158137405;-25.05;-21.75;-69.6;0.0;0.0;0.0
7.76;2025-05-04 11:22:56;977.6955624870959;40.57702925073819;121.76488581703752;13.577517614746093;-0.7685387329101562;0.07422025146484375;5.388404443450383;1.7410659001832063;1.4133170392671757;-21.75;-51.6;-43.65;0.0;0.0;0.0
7.9;2025-05-04 11:22:56;977.7773540958898;40.57702925073819;121.06113185175505;11.552023010253906;-3.574543078613281;1.1372457885742187;8.731176362305344;1.6326156673435117;-2.340340036931298;-21.75;-39.6;2.6999999999999997;0.0;0.0;0.0
8.02;2025-05-04 11:22:56;977.8679942256349;40.60276205708661;120.28129883946593;10.55364091796875;4.393360046386719;0.9265560424804687;8.446061499557253;-1.8737642194809163;-0.888119474335878;-25.95;21.9;-5.85;0.0;0.0;0.0
8.14;2025-05-04 11:22:56;977.8699486114009;40.615348755843996;120.26448469637967;10.946289990234375;4.091690637207031;-0.5434837768554687;2.9310873740458017;-0.031709036137404584;2.7994549047022903;-36.449999999999996;22.349999999999998;-33.9;0.0;0.0;0.0
8.27;2025-05-04 11:22:56;977.9845207513484;40.63017308993602;119.27883516044558;12.449848632812499;-0.8116343627929687;-1.0103531005859374;2.2127045049160308;1.0551914546564887;2.639843874061069;-47.699999999999996;-4.5;-39.0;0.0;0.0;0.0
